Theme - code,Theme - Label,Goal,Goal - Label,Outcome,Outcome - Label,Indicator,Unit of measure,Breakdowns,Data source,Corresponding SDG indicator,Code in '.stat',Corresponding NMDI indicator,DataFlow - NON SDG,Delivery priority (H/M/L),Already in .Stat,Data Visualization,Type of figure,# of figure,Comments,Updated in Test Dashboard (Thomas),Graph ok/ko Alison/Amandine,PDH.stat Link ok/ko,Status,Comment,Add a description of the indicator,Max for the scale,change values,SEX,AGE,URBANIZATION,INCOME,EDUCATION LEVEL,OCCUPATION,COMPOSITE BREAKDOWN,DISABILITY,check availability in .stat (production),Link,Status of the BP50 link in the Dashboard (production),Comment2,BP50 link in production,Comment Release 2,Draft text to accompany cartoon (for finalisation upon seeing the cartoons),Negative values
2,People Centred Development,4,"The Pacific’s diverse cultures, traditions, spirituality, and languages are visible, valued, safeguarded, and inform all national and regional development actions.",4.1,"Strengthened institutional capacity and capability to promote and safeguard Pacific culture, traditions, languages, practices, and arts outcomes.","School hours per week spent teaching culture, languages and arts",NUMBER,,,,,,,L,N,Not enough data,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Technology and Connectivity,1,"All Pacific peoples have access to inclusive, affordable, accessible, reliable, regular, safe, clean, and sustainable land, air, and sea transportation services.",1.1,"Increased investment in and maintenance of affordable, reliable, regular, safe, and secure land, air, and sea transport infrastructure, systems, and operations.",International safety audit indicator,,,,,,,,L,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Political Leadership and Regionalism,1,"Pacific regionalism will be supported by a unified, cohesive and inclusive political leadership grounded in the Pacific Way and the Leaders commitments and values of the 2050 Strategy",1.2,"The Pacific demonstrates strong and accountable leadership, that is consistent with existing regional commitments on good governance, accountable leadership, democratic principles, and values.","Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",BOOL,No,UNSD,16.10.2,SG_INF_ACCSS,,,H,Y,Figure,Single value Circle,,"Value: 4 countries in 2020 (+ list of countries: FJ,VU,PW,CK)",Yes,OK,OK,Approved,sentence,To do,,NO,,,,,,,,,YES,https://stats.pacificdata.org/vis?tm=SG_INF_ACCSS&pg=0&snb=4&df[ds]=ds%3ASPC2&df[id]=DF_SDG_16&df[ag]=SPC&df[vs]=3.0&pd=%2C2023&dq=A.SG_INF_ACCSS.........&ly[rw]=GEO_PICT&ly[cl]=TIME_PERIOD&ly[rs]=INDICATOR&to[TIME_PERIOD]=false&lb=bt,Approved,,,,,
1,Political Leadership and Regionalism,1,"Pacific regionalism will be supported by a unified, cohesive and inclusive political leadership grounded in the Pacific Way and the Leaders commitments and values of the 2050 Strategy ",1.2,"The Pacific demonstrates strong and accountable leadership, that is consistent with existing regional commitments on good governance, accountable leadership, democratic principles, and values.",Countries with national statistical legislation exists that complies with the Fundamental Principles of Official Statistics,BOOL,No,UNSD,17.18.2,SG_STT_FPOS,,,H,Y,Figure,Single value Circle,,"Value: 10 countries (+ list of countries: FJ,NC,PG,VU, NR,PW,CK,PF,WS,TO)",Yes,OK,OK,Approved,sentence,To do,,NO,,,,,,,,,YES,.Stat Data Explorer • Sustainable Development Goal 17 - Partnerships for the Goals (pacificdata.org),Approved,,,,,
1,Political Leadership and Regionalism,1,"Pacific regionalism will be supported by a unified, cohesive and inclusive political leadership grounded in the Pacific Way and the Leaders commitments and values of the 2050 Strategy",1.2,"The Pacific demonstrates strong and accountable leadership, that is consistent with existing regional commitments on good governance, accountable leadership, democratic principles, and values.",Proportion of countries that have achieved 100 per cent birth registration and 80 per cent death registration,BOOL,Yes,UNSD,17.19.2,SG_REG_BRTHDETH,,,H,Y,Figure,Half donut,,,Yes,OK,OK,Approved,,No comment,,NO,,,,,,,,,YES,.Stat Data Explorer • Sustainable Development Goal 17 - Partnerships for the Goals (pacificdata.org),Approved,,,,,
1,Political Leadership and Regionalism,1,"Pacific regionalism will be supported by a unified, cohesive and inclusive political leadership grounded in the Pacific Way and the Leaders commitments and values of the 2050 Strategy",1.2,"The Pacific demonstrates strong and accountable leadership, that is consistent with existing regional commitments on good governance, accountable leadership, democratic principles, and values.",WGI: Voice and Accountability,INDEX,No,World Bank,,VA_EST,,DF_WBWGI,H,Y,,Line chart,,,,OK,OK,Approved,Phase 2: start 2000,No comment,,NO,,,,,,,,,YES,.Stat Data Explorer • Selection of World Bank Worldwide Governance Indicators (WB WGI) for Pacific Island Countries and Territories (pacificdata.org),Approved,,,,,yes
1,Political Leadership and Regionalism,1,"Pacific regionalism will be supported by a unified, cohesive and inclusive political leadership grounded in the Pacific Way and the Leaders commitments and values of the 2050 Strategy",1.2,"The Pacific demonstrates strong and accountable leadership, that is consistent with existing regional commitments on good governance, accountable leadership, democratic principles, and values.",WGI: Political Stability and Absence of Violence/Terrorism,INDEX,No,World Bank,,PV_EST,,DF_WBWGI,H,Y,,Line chart,,,,OK,OK,Approved,Phase 2: start 2000,No comment,,NO,,,,,,,,,YES,.Stat Data Explorer • Selection of World Bank Worldwide Governance Indicators (WB WGI) for Pacific Island Countries and Territories (pacificdata.org),Approved,,,,,yes
1,Political Leadership and Regionalism,1,"Pacific regionalism will be supported by a unified, cohesive and inclusive political leadership grounded in the Pacific Way and the Leaders commitments and values of the 2050 Strategy",1.2,"The Pacific demonstrates strong and accountable leadership, that is consistent with existing regional commitments on good governance, accountable leadership, democratic principles, and values.",WGI: Government Effectiveness,INDEX,No,World Bank,,GE_EST,,DF_WBWGI,H,Y,,Line chart,,,,OK,OK,Approved,Phase 2: start 2000,No comment,,NO,,,,,,,,,YES,.Stat Data Explorer • Selection of World Bank Worldwide Governance Indicators (WB WGI) for Pacific Island Countries and Territories (pacificdata.org),Approved,,,,,yes
1,Political Leadership and Regionalism,1,"Pacific regionalism will be supported by a unified, cohesive and inclusive political leadership grounded in the Pacific Way and the Leaders commitments and values of the 2050 Strategy",1.2,"The Pacific demonstrates strong and accountable leadership, that is consistent with existing regional commitments on good governance, accountable leadership, democratic principles, and values.",WGI: Regulatory Quality,INDEX,No,World Bank,,RQ_EST,,DF_WBWGI,H,Y,,Line chart,,,,OK,OK,Approved,Phase 2: start 2000,No comment,,NO,,,,,,,,,YES,.Stat Data Explorer • Selection of World Bank Worldwide Governance Indicators (WB WGI) for Pacific Island Countries and Territories (pacificdata.org),Approved,,,,,yes
1,Political Leadership and Regionalism,1,"Pacific regionalism will be supported by a unified, cohesive and inclusive political leadership grounded in the Pacific Way and the Leaders commitments and values of the 2050 Strategy",1.2,"The Pacific demonstrates strong and accountable leadership, that is consistent with existing regional commitments on good governance, accountable leadership, democratic principles, and values.",WGI: Rule of Law,INDEX,No,World Bank,,RL_EST,,DF_WBWGI,H,Y,,Line chart,,,,OK,OK,Approved,Phase 2: start 2000,No comment,,NO,,,,,,,,,YES,.Stat Data Explorer • Selection of World Bank Worldwide Governance Indicators (WB WGI) for Pacific Island Countries and Territories (pacificdata.org),Approved,,,,,yes
